country,continent,total_confirmed,total_deaths,total_cases_per_1m_population,total_deaths_per_1m_population,population
Afghanistan,Asia,179267,7690.0,4420,190.0,40560636
Albania,Europe,275574,3497.0,95954,1218.0,2871945
Algeria,Africa,265816,6875.0,5865,152.0,45325517
Andorra,Europe,42156,153.0,543983,1974.0,77495
Angola,Africa,99194,1900.0,2853,55.0,34769277
Anguilla,North America,2984,9.0,195646,590.0,15252
Antigua And Barbuda,North America,7721,137.0,77646,1378.0,99439
Argentina,South America,9101319,128729.0,197992,2800.0,45968174
Armenia,Asia,422896,8623.0,142219,2900.0,2973558
Aruba,North America,35693,213.0,331689,1979.0,107610
Australia,Australia/Oceania,6593795,7794.0,253112,299.0,26050899
Austria,Europe,4212492,18303.0,462804,2011.0,9102106
Azerbaijan,Asia,792638,9709.0,76885,942.0,10309383
Bahamas,North America,33871,801.0,84626,2001.0,400242
Bahrain,Asia,576997,1479.0,318491,816.0,1811659
Bangladesh,Asia,1953012,29127.0,11643,174.0,167745162
Barbados,North America,76261,433.0,264768,1503.0,288030
Belarus,Europe,982867,6978.0,104078,739.0,9443535
Belgium,Europe,4116397,31613.0,352324,2706.0,11683561
Belize,North America,57896,676.0,140843,1644.0,411069
Benin,Africa,26952,163.0,2120,13.0,12714341
Bermuda,North America,14135,135.0,228537,2183.0,61850
Bhutan,Asia,59570,21.0,75651,27.0,787432
Bolivia,South America,906146,21943.0,75704,1833.0,11969554
Bosnia And Herzegovina,Europe,377511,15778.0,116414,4866.0,3242823
Botswana,Africa,306324,2690.0,125541,1102.0,2440037
Brazil,South America,30682094,664920.0,142460,3087.0,215373503
British Virgin Islands,North America,6573,62.0,214762,2026.0,30606
Brunei Darussalam,Asia,144659,220.0,324871,494.0,445281
Bulgaria,Europe,1161504,37045.0,169536,5407.0,6851060
Burkina Faso,Africa,20853,382.0,949,17.0,21970296
Burundi,Africa,41235,38.0,3286,3.0,12549999
Cabo Verde,Africa,56105,401.0,98910,707.0,567234
Cambodia,Asia,136262,3056.0,7945,178.0,17149867
Cameroon,Africa,119780,1927.0,4312,69.0,27776053
Canada,North America,3821346,40228.0,99622,1049.0,38358465
Caribbean Netherlands,North America,9915,35.0,371668,1312.0,26677
Cayman Islands,North America,23578,28.0,351077,417.0,67159
Central African Republic,Africa,14649,113.0,2938,23.0,4986136
Chad,Africa,7414,193.0,428,11.0,17303260
Channel Islands,Europe,75275,173.0,425648,978.0,176848
Chile,South America,3605522,57722.0,185643,2972.0,19421812
China Hong Kong Sar,Asia,1208506,9361.0,158800,1230.0,7610260
China Macao Sar,Asia,82,0.0,123,0.0,665819
China,Asia,221804,5209.0,154,4.0,1439323776
Colombia,South America,6095316,139821.0,117459,2694.0,51892950
Comoros,Africa,8100,160.0,8959,177.0,904091
Congo,Africa,24079,385.0,4172,67.0,5770949
Cook Islands,Australia/Oceania,5410,1.0,307491,57.0,17594
Costa Rica,North America,866164,8444.0,167189,1630.0,5180753
Cote D Ivoire,Africa,81989,799.0,2971,29.0,27594347
Croatia,Europe,1131450,15930.0,278811,3925.0,4058130
Cuba,North America,1104589,8529.0,97633,754.0,11313741
Curacao,North America,43017,275.0,260168,1663.0,165343
Cyprus,Asia,477711,1032.0,390374,843.0,1223728
Czech Republic,Europe,3915847,40245.0,364401,3745.0,10745981
Democratic Republic Of The Congo,Africa,87023,1337.0,920,14.0,94629737
Denmark,Europe,2976667,6287.0,510561,1078.0,5830190
Djibouti,Africa,15631,189.0,15404,186.0,1014756
Dominica,North America,12685,63.0,175403,871.0,72319
Dominican Republic,North America,580412,4376.0,52524,396.0,11050510
Ecuador,South America,872268,35607.0,48080,1963.0,18141962
Egypt,Africa,515645,24613.0,4868,232.0,105928386
El Salvador,North America,162089,4129.0,24757,631.0,6547158
Equatorial Guinea,Africa,15910,183.0,10687,123.0,1488778
Eritrea,Africa,9745,103.0,2679,28.0,3637828
Estonia,Europe,573922,2556.0,432106,1924.0,1328196
Ethiopia,Africa,470937,7510.0,3916,62.0,120265111
Faeroe Islands,Europe,34658,28.0,704302,569.0,49209
