Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population
Belarus,Europe,994048,10520.0,7118,75.0
China,Western Pacific,99381761,6755.0,122398,8.0
French Guiana,Americas,98041,32825.0,413,138.0
Latvia,Europe,977765,51254.0,7475,392.0
Saint Vincent and the Grenadines,Americas,9674,8720.0,124,112.0
Guinea-Bissau,Africa,9614,489.0,177,9.0
Niger,Africa,9548,39.0,315,1.0
Comoros,Africa,9109,1047.0,160,18.0
Antigua and Barbuda,Americas,9106,9299.0,146,149.0
Senegal,Africa,89334,534.0,1972,12.0
Malawi,Africa,89168,466.0,2686,14.0
Kyrgyzstan,Europe,88953,1363.0,1024,16.0
C�te d'Ivoire,Africa,88464,335.0,835,3.0
Netherlands (Kingdom of the),Europe,8633615,49597.0,22986,132.0
Saudi Arabia,Eastern Mediterranean,841469,2417.0,9646,28.0
Azerbaijan,Europe,836507,8250.0,10353,102.0
American Samoa,Western Pacific,8359,15144.0,34,62.0
Suriname,Americas,82507,14065.0,1406,240.0
New Caledonia,Western Pacific,80203,28092.0,314,110.0
Sierra Leone,Africa,7985,100.0,125,2.0
French Polynesia,Western Pacific,79451,28284.0,650,231.0
Liberia,Africa,7932,157.0,294,6.0
Chad,Africa,7702,47.0,194,1.0
British Virgin Islands,Americas,7644,25280.0,64,212.0
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082.0,146837,175.0
Mexico,Americas,7622513,5912.0,334818,260.0
Eswatini,Africa,75356,6495.0,1427,123.0
Guyana,Americas,74502,9472.0,1302,166.0
Cook Islands,Western Pacific,7375,41989.0,2,11.0
Paraguay,Americas,735759,10316.0,19880,279.0
Belize,Americas,71432,17965.0,688,173.0
Cyprus,Europe,712710,80260.0,1364,154.0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785.0,5708,112.0
Bahrain,Eastern Mediterranean,696614,40939.0,1536,90.0
Fiji,Western Pacific,69047,7702.0,885,99.0
Madagascar,Africa,68654,248.0,1428,5.0
Turks and Caicos Islands,Americas,6846,17682.0,40,103.0
Indonesia,South-East Asia,6830212,2497.0,162059,59.0
Poland,Europe,6775859,17851.0,120976,319.0
Sao Tome and Principe,Africa,6771,3090.0,80,37.0
