"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity)","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) lower 95% uncertainty interval","Combined prevalence of BMI<18.5 kg/m² and BMI>=30 kg/m² (double burden of underweight and obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
1990,"Women","World",NA,0.14490923974454847,0.13960273886133565,0.15022102347603097,0.08794640206797089,0.08535778097222316,0.09057432351993747,0.23285564181251936,0.22683352697837783,0.23871538901615452,0.1369296745194946,0.13267689020166426,0.1413607464715961,0.4424209090956014,0.436394486525835,0.4484544548408865,0.1877937725723847,0.18358921014988291,0.1920762212258965,0.06271899629421498,0.06028308539355821,0.06518453458329142,0.018450768528673583,0.0172753584519578,0.019677324131576218,0.006776637245082315,0.006111859145298888,0.007471222509538053
1991,"Women","World",NA,0.14242953194162727,0.13731254275157007,0.1474562139920392,0.08968079030633111,0.08730324109095379,0.09213620523806557,0.2321103222479584,0.22645778444924633,0.2376097968122882,0.1350688819044436,0.1310629302761119,0.13929496063499328,0.44279891280958444,0.4370487057366479,0.448520481869039,0.19002188103801354,0.186017868672638,0.19412051465705055,0.06377145724932862,0.06147887117154234,0.06607676364356614,0.01888231615601957,0.017766974690874224,0.02003605788234812,0.007027016900982941,0.006389286969499636,0.007705165319959833
1992,"Women","World",NA,0.13999107713002154,0.13500480761047742,0.144878615220875,0.09145815537800668,0.08915858637247995,0.09377525530476355,0.23144923250802824,0.22614978133910393,0.2366500012912974,0.13322237876271292,0.12935482446147675,0.13727933010524307,0.44306555619340793,0.4376116823750519,0.44861113123891433,0.19226283053585091,0.18841051218578092,0.1961834471944471,0.06484933769664655,0.06267705947371788,0.06699259061468034,0.01931883218933685,0.018271429437475974,0.020424662987427816,0.00728998549202327,0.0066683925214784875,0.00794488109192761
1993,"Women","World",NA,0.13765719185981032,0.13288451264007115,0.142374946484735,0.09329379896712339,0.09108103253896323,0.09546304196775073,0.2309509908269337,0.2259382216629417,0.23601812755277085,0.1314192050876377,0.1277382405032735,0.13524503789289546,0.4431306598823209,0.43785600629501437,0.4484874982604849,0.19449914220310763,0.19080331203430706,0.19824758654493846,0.06595825316593057,0.06392731781310877,0.06799111022340318,0.019767508877630634,0.01877172156130931,0.02080866003635258,0.007568036923562189,0.00696555488475566,0.008199548492398186
1994,"Women","World",NA,0.13547598996333735,0.1309498445953793,0.14003892420993877,0.09523917865761669,0.09310206579208766,0.0973612398796999,0.23071516862095404,0.22586913886893722,0.23557187101845506,0.1296692078097086,0.12617214849846803,0.1333710586599575,0.4428873042531059,0.43773048173922374,0.44812135401283393,0.19672831731623147,0.19325596443846332,0.20037392035369184,0.06712632473012897,0.0651847089414936,0.06909387367178013,0.02024478663989172,0.019299964014776565,0.021228369751749177,0.007868067287595992,0.007278189437526773,0.00848278980482894
1995,"Women","World",NA,0.13341350235450924,0.12906665532313835,0.13775907918709218,0.09733771935587511,0.09529693483178434,0.09942516116750508,0.23075122171038437,0.22601435201486633,0.23547181164961245,0.12794123319411332,0.12456786383387258,0.13153182649072276,0.442320523579633,0.43738653228746244,0.4473434478529362,0.19898701951586936,0.19557947153816657,0.20254978961465464,0.06837907801331329,0.0665122955429265,0.07032116759416245,0.02076271056569502,0.019845482670342755,0.021715825645591408,0.0081959307768668,0.0076176994209667245,0.008805163354794704
1996,"Women","World",NA,0.13136571632935706,0.12714949234814768,0.13552430099654691,0.09948880049155115,0.097508677760429,0.10150415322887602,0.2308545168209082,0.2263011068914735,0.23543411637873116,0.1262570410501662,0.12298215156380124,0.12969232304779313,0.441646023679149,0.4368292658015483,0.446380926586857,0.20124241644977656,0.19790554907213997,0.20473440966638584,0.06965194359467895,0.06781454089923064,0.07151185355448599,0.0212935059384315,0.020406999758921556,0.022228110113511626,0.008543350958440695,0.007975157644990774,0.009147756802281
1997,"Women","World",NA,0.1294142406936881,0.12541578429261785,0.13348235060891728,0.10184985507011794,0.09993514666263174,0.10380865536171065,0.23126409576380602,0.22696537080543513,0.23564533926639558,0.12456624799560649,0.12144685798714955,0.1278454325787079,0.4406081281430231,0.43590292203270936,0.4451373893595777,0.2035615260975644,0.20028706519801853,0.20696532227970013,0.07104273113065727,0.06927265115755396,0.07286469210527723,0.02188006680018385,0.021008631566626093,0.022772268769099616,0.008927057139276813,0.00836239514196684,0.009527073008589411
1998,"Women","World",NA,0.1275056564022701,0.12359270044660181,0.13140392170194523,0.10436102468186101,0.10252184802343707,0.1062234397753315,0.2318666810841311,0.2276137589342968,0.23614463752351944,0.12288298730402665,0.11984364262382802,0.12604109293161964,0.43934181830049623,0.43478705921781924,0.443668680669242,0.20590851131134602,0.20274559254024693,0.20931277208072996,0.07251308390742157,0.07082102883956679,0.07426315112335086,0.022506594036411448,0.021654167655862457,0.02337665345450233,0.009341346738028009,0.00877019657029556,0.00992905329979135
1999,"Women","World",NA,0.12559835068986983,0.12182219704266456,0.1293911567638028,0.10695105498650168,0.10518354609207221,0.10878733936295217,0.2325494056763715,0.22841550509435052,0.23666684464257068,0.12124103346123555,0.11828449236785829,0.1243081164705251,0.4379514217233224,0.43355768650991744,0.4422087718388826,0.20825813713907057,0.20518078217540336,0.21155546326112884,0.07402077509278644,0.07239820522146667,0.07573736377290276,0.02315249970235113,0.022326775402355583,0.0240128975738363,0.009777780191364096,0.009206687045837493,0.010360851169825375
