"Titre du cube";"Numéro d'identification du produit";"Numéro d'identification de CANSIM";URL;"Notes sur le cube";"État de l'archivage";Fréquence;"Début de la période de référence";"Fin de la période de référence";"Nombre total de dimensions"
"Indice de masse corporelle (IMC), norme internationale, selon le groupe d'âge et le sexe, population à domicile de 20 à 64 ans excluant les femmes enceintes, Canada, provinces, territoires, régions socio-sanitaires (limites de janvier 2000) et groupes de régions homologues";13100556;"105-0009";"https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1310055601";"1,2,3,4,5,9,10,23";"ARCHIVÉ - un cube qui est disponible au public mais n'étant plus mis à jour";"Aux 2 ans";"2000-01-01";"2000-01-01";5

"Numéro d'identification de la dimension";"Nom de la dimension";"Notes sur la dimension";"Notes de correction sur la dimension";"Définitions de la dimension"
1;Géographie;"9,10";;
2;"Groupe d'âge";;;
3;Sexe;;;
4;"Indice de masse corporelle (IMC), norme internationale";"2,3,4,5";;
5;Caractéristiques;"6,7,8,22";;

"Numéro d'identification de la dimension";"Nom du membre";"Code sur la classification";"Numéro d'identification du membre";"Numéro d'identification du membre parent";Terminé;"Notes sur le membre";"Notes de correction sur le membre";"Member Geo Attribute Keys";"Définitions du membre"
1;Canada;"[00]";1;;;;;;
1;"Terre-Neuve-et-Labrador";"[10]";2;1;;"11";;;
1;"Health and Community Services St. John's Region, Terre-Neuve-et-Labrador (Groupe de régions homologues H)";"[1001]";3;2;;;;;
1;"Health and Community Services Eastern Region, Terre-Neuve-et-Labrador (Groupe de régions homologues D)";"[1002]";4;2;;;;;
1;"Health and Community Services Central Region, Terre-Neuve-et-Labrador (Groupe de régions homologues D)";"[1003]";5;2;;;;;
1;"Health and Community Services Western Region, Terre-Neuve-et-Labrador (Groupe de régions homologues D)";"[1004]";6;2;;;;;
1;"Grenfell Regional Health Services Board, Terre-Neuve-et-Labrador (Groupe de régions homologues D)";"[1005]";7;2;;;;;
1;"Health Labrador Corporation, Terre-Neuve-et-Labrador (Groupe de régions homologues F)";"[1006]";8;2;;;;;
1;"Île-du-Prince-Édouard";"[11]";9;1;;"12,13";;;
1;"Région socio-sanitaire urbaine, Île-du-Prince-Édouard (Groupe de régions homologues I)";"[1101]";10;9;;;;;
1;"Région socio-sanitaire rurale, Île-du-Prince-Édouard (Groupe de régions homologues E)";"[1102]";11;9;;;;;
1;"Nouvelle-Écosse";"[12]";12;1;;"14";;;
1;"Zone 1, Nouvelle-Écosse (Groupe de régions homologues E)";"[1201]";13;12;;;;;
1;"Zone 2, Nouvelle-Écosse (Groupe de régions homologues E)";"[1202]";14;12;;;;;
